  YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
         KST  ID  16  m/s  WD   WS   TM    hPa    hPa      hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT                              TOT MID  MIN          TOP MID LOW                  GD     C     5    10    20    30 SEA    m         
202302271400 143  27  2.9  -9 -9.0   -9 1025.1 1031.7 -9  -9.0  13.9 -10.0  18.0   2.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1813  1.0  2.68 -9  23.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202302271400 146  25  1.9  -9 -9.0   -9 1025.8 1033.2 -9  -9.0  11.8  -6.1  28.0   3.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0  2.67 -9  20.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202302271400 152  14  3.2  -9 -9.0   -9 1021.3 1031.1 -9  -9.0  13.6  -4.6  28.0   4.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3733  1.0  2.69 -9  29.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202302271400 155  11  2.8  -9 -9.0   -9 1028.2 1032.5 -9  -9.0  13.3  -9.8  19.0   2.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4342  1.0  2.67 -9  25.1 -99.0 -99.0 -99.0 -99.0  -9  0.5 -9  3  2
202302271400 156  27  1.4  -9 -9.0   -9 1024.7 1033.2 -9  -9.0  13.5 -16.4  11.0   1.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1987  1.0  2.95 -9  29.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202302271400 159  18  6.0  -9 -9.0   -9 1023.4 1031.9 -9  -9.0  12.2  -0.6  41.0   5.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4743  1.0  2.91 -9  33.5  15.4  10.1   7.5   7.5  -9  0.5 -9  3  2
202302271400 162  20  3.0  -9 -9.0   -9 1029.5 1033.3 -9  -9.0  12.4  -3.8  32.0   4.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1998  1.0  2.82 -9  25.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 165  25  2.6  -9 -9.0   -9 1028.3 1033.8 -9  -9.0  10.5  -5.1  33.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3577  1.0  2.86 -9  23.1   8.0   5.9   5.1   5.3  -9  0.5 -9  3  2
202302271400 168  20  4.5  -9 -9.0   -9 1025.6 1033.7 -9  -9.0  10.9  -6.0  30.0   3.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0  2.88 -9  29.3   7.5   6.6   5.8   6.3  -9  0.5 -9  3  2
202302271400 169  36  2.5  -9 -9.0   -9 1024.7 1034.0 -9  -9.0   8.2   0.1  57.0   6.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3128  1.0  2.90 -9  13.1 -99.0 -99.0 -99.0 -99.0  -9  0.5 -9  3  2
202302271400 170   9  2.7  -9 -9.0   -9 1029.3 1033.6 -9  -9.0  13.7   0.9  42.0   6.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1989  1.0 -9.00 -9  27.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 172  25  2.8  -9 -9.0   -9 1027.0 1033.4 -9  -9.0  12.6 -10.4  19.0   2.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3713  1.0  2.90 -9  22.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 174  32  1.3  -9 -9.0   -9 1011.8 1031.7 -9  -9.0  14.7 -11.7  15.0   2.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1938  1.0 -9.00 -9  12.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 177  20  1.8  -9 -9.0   -9 1030.0 1033.4 -9  -9.0  11.8  -8.1  24.0   3.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3021  1.0  2.64 -9  23.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202302271400 181  34  0.9  -9 -9.0   -9 1029.1 1033.0 -9  -9.0  11.1  -9.8  22.0   2.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3466  1.0  2.88 -9  14.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 184  36  2.3  -9 -9.0   -9 1031.7 1034.2 -9  -9.0  13.4   1.6  45.0   6.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4939  1.0  2.97 -9  24.3  11.6   9.6   8.5   8.2  -9  0.5 -9  3  2
202302271400 185  25  4.7  -9 -9.0   -9 1024.8 1033.5 -9  -9.0  11.6   2.3  53.0   7.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        4   0   -9 -         -9  -9  -9  5000  1.0  2.91 -9  21.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
